review_id,hotel_id,reviewer_name,rating,review_text,source,created_at
R1,HOTEL_001,Sneha,3,"Average stay, decent location",booking,2026-02-03T20:48:23.762765
R2,HOTEL_001,Sneha,5,"Great stay, very clean rooms and friendly staff. Contact: demo@yahoo.com",booking,2026-02-03T20:48:23.762765
R3,HOTEL_001,Neha,2,"Terrible hotel, bathroom was dirty",internal,2026-02-03T20:48:23.762765
R4,HOTEL_001,Amit,3,"Nothing great, nothing terrible. I paid 6000 per night",google,2026-02-03T20:48:23.762765
R5,HOTEL_001,Sneha,4,Excellent hotel with nice location,google,2026-02-03T20:48:23.762765
R6,HOTEL_001,Rahul,5,Amazing service and clean bathroom,internal,2026-02-03T20:48:23.762765
R7,HOTEL_001,Vikas,3,"Average stay, decent location",booking,2026-02-03T20:48:23.762765
R8,HOTEL_001,Pooja,1,Poor maintenance and rude staff. Price is too high for this hotel,internal,2026-02-03T20:48:23.762765
R9,HOTEL_001,Karan,2,"Bad experience, noisy at night. Tariff was 5000 INR",google,2026-02-03T20:48:23.762765
R10,HOTEL_001,Rahul,3,Rooms were fine but service was slow,google,2026-02-03T20:48:23.762765
R11,HOTEL_001,Amit,4,"Great stay, very clean rooms and friendly staff. Cost was ₹4500",internal,2026-02-03T20:48:23.762765
R12,HOTEL_001,Vikas,2,"Not good, rooms were smelly. Call me at 9876543210",google,2026-02-03T20:48:23.762765
R13,HOTEL_001,Karan,3,"Okay experience, food was average",google,2026-02-03T20:48:23.762765
R14,HOTEL_001,Simran,4,"Great stay, very clean rooms and friendly staff. Check www.fakehotel.com",google,2026-02-03T20:48:23.762765
R15,HOTEL_001,Rahul,3,"Nothing great, nothing terrible",internal,2026-02-03T20:48:23.762765
R16,HOTEL_001,Rahul,2,"Terrible hotel, bathroom was dirty. My number is 9123456789",internal,2026-02-03T20:48:23.762765
R17,HOTEL_001,Simran,3,Rooms were fine but service was slow. Call me at 9876543210,google,2026-02-03T20:48:23.762765
R18,HOTEL_001,Simran,3,"Okay experience, food was average. Tariff was 5000 INR",booking,2026-02-03T20:48:23.762765
R19,HOTEL_001,Vikas,5,"Very nice hotel, will visit again",booking,2026-02-03T20:48:23.762765
R20,HOTEL_001,Vikas,3,"Hotel was okay, nothing special",google,2026-02-03T20:48:23.762765
R21,HOTEL_001,Amit,1,"Terrible hotel, bathroom was dirty",booking,2026-02-03T20:48:23.762765
R22,HOTEL_001,Simran,3,Rooms were fine but service was slow,google,2026-02-03T20:48:23.762765
R23,HOTEL_001,Rahul,1,"Worst stay ever, very dirty rooms",booking,2026-02-03T20:48:23.762765
R24,HOTEL_001,Karan,1,"Worst stay ever, very dirty rooms",internal,2026-02-03T20:48:23.762765
R25,HOTEL_001,Sneha,2,"Worst stay ever, very dirty rooms",booking,2026-02-03T20:48:23.762765
R26,HOTEL_001,Karan,3,"Okay experience, food was average",booking,2026-02-03T20:48:23.762765
R27,HOTEL_001,Sneha,4,"Very nice hotel, will visit again",google,2026-02-03T20:48:23.762765
R28,HOTEL_001,Pooja,3,"Average stay, decent location. My number is 9123456789. More details at http://spamlink.com",google,2026-02-03T20:48:23.762765
R29,HOTEL_001,Neha,4,Excellent hotel with nice location,google,2026-02-03T20:48:23.762765
R30,HOTEL_001,Rohit,3,"Hotel was okay, nothing special",booking,2026-02-03T20:48:23.762765
R31,HOTEL_001,Neha,2,Poor maintenance and rude staff,booking,2026-02-03T20:48:23.762765
R32,HOTEL_001,Amit,1,"Terrible hotel, bathroom was dirty. I paid 6000 per night",booking,2026-02-03T20:48:23.762765
R33,HOTEL_001,Simran,3,"Nothing great, nothing terrible. I paid 6000 per night",booking,2026-02-03T20:48:23.762765
R34,HOTEL_001,Vikas,1,"Bad experience, noisy at night",internal,2026-02-03T20:48:23.762765
R35,HOTEL_001,Sneha,5,Amazing service and clean bathroom. Call me at 9876543210,booking,2026-02-03T20:48:23.762765
R36,HOTEL_001,Rohit,5,"Great stay, very clean rooms and friendly staff. Tariff was 5000 INR",internal,2026-02-03T20:48:23.762765
R37,HOTEL_001,Rohit,5,"Great stay, very clean rooms and friendly staff. I paid 6000 per night",internal,2026-02-03T20:48:23.762765
R38,HOTEL_001,Simran,3,"Average stay, decent location. More details at http://spamlink.com",booking,2026-02-03T20:48:23.762765
R39,HOTEL_001,Karan,4,"Very nice hotel, will visit again",booking,2026-02-03T20:48:23.762765
R40,HOTEL_001,Karan,4,Loved the breakfast and the staff behavior. I paid 6000 per night. Check www.fakehotel.com,booking,2026-02-03T20:48:23.762765
R41,HOTEL_001,Karan,3,"Average stay, decent location. Cost was ₹4500",internal,2026-02-03T20:48:23.762765
R42,HOTEL_001,Neha,5,Loved the breakfast and the staff behavior,booking,2026-02-03T20:48:23.762765
R43,HOTEL_001,Rohit,4,Excellent hotel with nice location,internal,2026-02-03T20:48:23.762765
R44,HOTEL_001,Pooja,3,"Nothing great, nothing terrible. Tariff was 5000 INR. My number is 9123456789",google,2026-02-03T20:48:23.762765
R45,HOTEL_001,Simran,2,"Terrible hotel, bathroom was dirty. Cost was ₹4500. My number is 9123456789. Email me at test@gmail.com",google,2026-02-03T20:48:23.762765
R46,HOTEL_001,Sneha,3,"Hotel was okay, nothing special. Price is too high for this hotel. My number is 9123456789. Email me at test@gmail.com",booking,2026-02-03T20:48:23.762765
R47,HOTEL_001,Rahul,1,"Not good, rooms were smelly",booking,2026-02-03T20:48:23.762765
R48,HOTEL_001,Rahul,5,Amazing service and clean bathroom,booking,2026-02-03T20:48:23.762765
R49,HOTEL_001,Rohit,4,"Very nice hotel, will visit again",internal,2026-02-03T20:48:23.762765
R50,HOTEL_001,Sneha,1,"Terrible hotel, bathroom was dirty. Price is too high for this hotel",booking,2026-02-03T20:48:23.762765
R51,HOTEL_001,Amit,2,Poor maintenance and rude staff. Price is too high for this hotel. My number is 9123456789,google,2026-02-03T20:48:23.762765
R52,HOTEL_001,Pooja,1,"Not good, rooms were smelly",google,2026-02-03T20:48:23.762765
R53,HOTEL_001,Pooja,5,Excellent hotel with nice location. Email me at test@gmail.com,google,2026-02-03T20:48:23.762765
R54,HOTEL_001,Ankit,3,"Nothing great, nothing terrible",internal,2026-02-03T20:48:23.762765
R55,HOTEL_001,Karan,4,Excellent hotel with nice location,booking,2026-02-03T20:48:23.762765
R56,HOTEL_001,Amit,4,Loved the breakfast and the staff behavior,internal,2026-02-03T20:48:23.762765
R57,HOTEL_001,Rohit,3,"Okay experience, food was average",internal,2026-02-03T20:48:23.762765
R58,HOTEL_001,Rohit,5,"Great stay, very clean rooms and friendly staff. Cost was ₹4500",google,2026-02-03T20:48:23.762765
R59,HOTEL_001,Pooja,1,"Terrible hotel, bathroom was dirty",google,2026-02-03T20:48:23.762765
R60,HOTEL_001,Rahul,5,Loved the breakfast and the staff behavior. I paid 6000 per night,internal,2026-02-03T20:48:23.762765
