review_id,hotel_id,rating,publish_decision,rejection_reasons,sentiment,summary
R1,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Average stay, decent location"
R2,HOTEL_001,5,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Contact: demo@yahoo.com"
R3,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty"
R4,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Nothing great, nothing terrible. I paid 6000 per night"
R5,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R6,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R7,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Average stay, decent location"
R8,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Price is too high for this hotel
R9,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Bad experience, noisy at night. Tariff was 5000 INR"
R10,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R11,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Cost was ₹4500"
R12,HOTEL_001,2,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,"Not good, rooms were smelly. Call me at 9876543210"
R13,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average"
R14,HOTEL_001,4,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Check www.fakehotel.com"
R15,HOTEL_001,3,PUBLISH,[],SENTIMENT_POSITIVE,"Nothing great, nothing terrible"
R16,HOTEL_001,2,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. My number is 9123456789"
R17,HOTEL_001,3,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEUTRAL,Rooms were fine but service was slow. Call me at 9876543210
R18,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,"Okay experience, food was average. Tariff was 5000 INR"
R19,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,"Very nice hotel, will visit again"
R20,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special"
R21,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty"
R22,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,Rooms were fine but service was slow
R23,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms"
R24,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms"
R25,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms"
R26,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average"
R27,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Very nice hotel, will visit again"
R28,HOTEL_001,3,REJECT,"[""PHONE_NUMBER_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. My number is 9123456789. More details at http://s..."
R29,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R30,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Hotel was okay, nothing special"
R31,HOTEL_001,2,PUBLISH,[],SENTIMENT_NEGATIVE,Poor maintenance and rude staff
R32,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. I paid 6000 per night"
R33,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Nothing great, nothing terrible. I paid 6000 per night"
R34,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,"Bad experience, noisy at night"
R35,HOTEL_001,5,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,Amazing service and clean bathroom. Call me at 9876543210
R36,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Tariff was 5000 INR"
R37,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. I paid 6000 per night"
R38,HOTEL_001,3,REJECT,"[""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. More details at http://spamlink.com"
R39,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Very nice hotel, will visit again"
R40,HOTEL_001,4,REJECT,"[""PRICE_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. I paid 6000 per night. Check www.fak...
R41,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,"Average stay, decent location. Cost was ₹4500"
R42,HOTEL_001,5,PUBLISH,[],SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior
R43,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R44,HOTEL_001,3,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,"Nothing great, nothing terrible. Tariff was 5000 INR. My number is 9123456789"
R45,HOTEL_001,2,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED"", ""EMAIL_MENTIONED""]",SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Cost was ₹4500. My number is 9123456789. Ema..."
R46,HOTEL_001,3,REJECT,"[""PHONE_NUMBER_MENTIONED"", ""EMAIL_MENTIONED""]",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Price is too high for this hotel. My number is ..."
R47,HOTEL_001,1,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly"
R48,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R49,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,"Very nice hotel, will visit again"
R50,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty. Price is too high for this hotel"
R51,HOTEL_001,2,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEGATIVE,Poor maintenance and rude staff. Price is too high for this hotel. My number is ...
R52,HOTEL_001,1,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly"
R53,HOTEL_001,5,REJECT,"[""EMAIL_MENTIONED""]",SENTIMENT_POSITIVE,Excellent hotel with nice location. Email me at test@gmail.com
R54,HOTEL_001,3,PUBLISH,[],SENTIMENT_POSITIVE,"Nothing great, nothing terrible"
R55,HOTEL_001,4,PUBLISH,[],SENTIMENT_POSITIVE,Excellent hotel with nice location
R56,HOTEL_001,4,PUBLISH,[],SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior
R57,HOTEL_001,3,PUBLISH,[],SENTIMENT_NEUTRAL,"Okay experience, food was average"
R58,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Cost was ₹4500"
R59,HOTEL_001,1,PUBLISH,[],SENTIMENT_NEGATIVE,"Terrible hotel, bathroom was dirty"
R60,HOTEL_001,5,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. I paid 6000 per night
R61,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED"", ""PHONE_NUMBER_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms. Cost was ₹4500. Call me at 9876543210"
R62,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff"
R63,HOTEL_001,5,PUBLISH,[],SENTIMENT_POSITIVE,Amazing service and clean bathroom
R64,HOTEL_001,2,PUBLISH,[],SENTIMENT_POSITIVE,"Not good, rooms were smelly"
R65,HOTEL_001,5,REJECT,"[""PHONE_NUMBER_MENTIONED""]",SENTIMENT_POSITIVE,"Great stay, very clean rooms and friendly staff. Call me at 9876543210"
R66,HOTEL_001,1,REJECT,"[""PRICE_MENTIONED""]",SENTIMENT_NEGATIVE,"Worst stay ever, very dirty rooms. I paid 6000 per night"
R67,HOTEL_001,5,REJECT,"[""EMAIL_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,Loved the breakfast and the staff behavior. Contact: demo@yahoo.com. More detail...
R68,HOTEL_001,3,REJECT,"[""EMAIL_MENTIONED"", ""LINK_MENTIONED""]",SENTIMENT_NEUTRAL,"Hotel was okay, nothing special. Contact: demo@yahoo.com. Check www.fakehotel.co..."
